Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
65,RR-04,150.185000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
66,RR-05,150.200000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
67,RR-06,150.245000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
68,RR-07,150.260000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
69,RR-08,150.365000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
70,RR-09,150.365000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
71,RR-10,150.410000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
72,RR-11,150.440000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
73,RR-12,150.500000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
74,RR-13,150.530000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
75,RR-14,150.545000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
76,RR-15,150.560000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
77,RR-16,150.590000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
78,RR-17,150.680000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
79,RR-18,150.710000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
80,RR-19,150.770000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
81,RR-20,150.830000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
82,RR-21,151.010000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
83,RR-22,151.130000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
84,RR-23,151.190000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
85,RR-24,151.220000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
86,RR-25,151.310000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
87,RR-26,151.340000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
88,RR-27,151.370000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
89,RR-28,151.430000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
90,RR-29,151.460000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
91,RR-30,151.490000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
92,RR-31,151.520000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
93,RR-32,151.580000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
94,RR-33,151.610000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
95,RR-34,151.640000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
96,RR-35,151.670000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
97,LD-1,151.700000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
98,LD-2,151.745000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
99,LD-3,151.790000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
100,LD-4,151.805000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
101,LD-5,151.850000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
102,HAUL-R,153.110000,,0.000000,Tone,203.5,88.5,023,NN,NFM,5.00,,,,,,
104,BLUE,164.085000,-,0.870000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
105,YELLOW,164.205000,-,0.870000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
106,SPACE-R,145.800000,split,437.800000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
107,SPACE,145.800000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
108,PEP-1,149.495000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
109,PEP-2,149.525000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
110,UHF-PEP,462.950000,,0.000000,Tone,114.8,88.5,023,NN,NFM,5.00,S,,,,,
126,,470.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
