Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
50,BENS-IT,444.725000,+,5.000000,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
51,LOST-IT,145.430000,-,0.600000,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
52,WASH-IT,443.700000,+,5.000000,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
53,TOFIN-I,147.700000,,0.000000,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
54,CAMR-IT,146.820000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
55,SAYW-IT,146.700000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
56,WOSS-IT,146.880000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
57,MCNL-IT,146.940000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
58,TAHS-IT,446.100000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
59,VE7RVC,145.700000,-,0.600000,Tone,127.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
60,COKELY,147.240000,+,0.600000,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
61,MTWASH,146.620000,-,0.600000,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
62,POWRIV,147.200000,+,0.600000,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
63,SQUSMI,147.000000,+,0.600000,Tone,77.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
64,PEMBER,146.980000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
65,HOPE,146.980000,-,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
